Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
SC1,08/09/01,Partick,Ayr,2.0,1.0,H,1.0,1.0,D,3820.0,I. M. Fyfe,8.0,8.0,5.0,1.0,0.0,0.0,4.0,3.0,21.0,20.0,4.0,1.0,3.0,3.0,0.0,0.0,30.0,30.0,,,,2.2,3.1,2.5,,,,2.25,3.4,2.5,2.25,3.6,2.5,2.3,3.4,2.5
SC1,16/03/02,Airdrie,Clyde,2.0,2.0,D,1.0,1.0,D,1551.0,"Clark, K. W.",10.0,13.0,4.0,3.0,0.0,0.0,4.0,3.0,12.0,15.0,3.0,3.0,2.0,2.0,0.0,0.0,20.0,20.0,1.75,3.25,4.0,1.8,3.2,3.3,1.83,3.5,3.4,2.0,3.4,3.0,1.909,3.75,3.0,1.83,3.4,3.5
SC1,23/03/02,Inverness C,Ross County,1.0,1.0,D,0.0,0.0,D,4685.0,"Orr, R.",10.0,9.0,3.0,5.0,0.0,0.0,7.0,5.0,9.0,17.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,2.15,3.25,2.92,2.2,3.1,2.5,2.2,3.25,2.75,2.3,3.4,2.5,,,,2.2,3.5,2.62
SC1,01/12/01,St Mirren,Raith Rvs,1.0,1.0,D,1.0,1.0,D,3417.0,G. P. Mitchell,8.0,6.0,5.0,3.0,0.0,0.0,9.0,7.0,7.0,19.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,3.6,5.85,1.45,3.6,4.8,,,,1.5,3.5,5.5,1.53,3.6,5.0,1.44,3.75,6.0
SC1,16/03/02,Ross County,St Mirren,4.0,1.0,H,2.0,1.0,H,2957.0,"Freeland, A.",15.0,10.0,8.0,4.0,0.0,0.0,8.0,6.0,7.0,8.0,3.0,2.0,2.0,1.0,0.0,0.0,20.0,10.0,2.1,3.3,2.9,2.0,3.1,2.8,2.0,3.4,3.0,2.1,3.4,2.8,2.0,3.6,2.875,2.0,3.4,3.0
SC1,26/03/02,Ayr,Arbroath,0.0,0.0,D,0.0,0.0,D,2249.0,"Summers, D",11.0,3.0,5.0,2.0,0.0,0.0,7.0,5.0,14.0,12.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,20.0,1.83,3.45,3.45,1.8,3.2,3.3,1.8,3.5,3.5,1.8,3.4,3.5,2.0,3.4,3.0,1.8,3.5,3.5
SC1,02/04/02,St Mirren,Ayr,1.0,1.0,D,1.0,0.0,H,3002.0,"Clyde, G. T.",10.0,12.0,4.0,4.0,0.0,0.0,4.0,11.0,14.0,14.0,2.0,0.0,3.0,4.0,0.0,0.0,30.0,40.0,2.43,3.55,2.38,,,,2.5,3.5,2.25,2.375,3.4,2.4,2.5,3.6,2.25,2.3,3.4,2.5
SC1,08/09/01,Raith Rvs,Falkirk,5.0,2.0,H,3.0,1.0,H,2360.0,R. Orr,13.0,8.0,6.0,3.0,0.0,1.0,4.0,7.0,11.0,5.0,5.0,2.0,4.0,3.0,0.0,0.0,40.0,30.0,,,,2.4,3.0,2.3,,,,2.62,3.4,2.2,2.6,3.5,2.2,2.62,3.5,2.2
SC1,25/08/01,Ross County,Airdrie,0.0,1.0,A,0.0,1.0,A,2022.0,A. C. Gemmill ,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.35,3.0,2.35,2.37,3.5,2.37,,,,2.6,3.5,2.2,2.37,3.5,2.37
SC1,06/04/02,Airdrie,Partick,1.0,1.0,D,0.0,0.0,D,5700.0,"Rowbotham, J",6.0,11.0,2.0,5.0,0.0,0.0,5.0,4.0,8.0,10.0,3.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,2.52,3.35,2.3,2.3,3.1,2.3,2.25,3.5,2.5,2.375,3.4,2.375,2.5,3.25,2.375,2.5,3.3,2.37
