Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
SC0,12/05/01,Dunfermline,Motherwell,1,2,A,1,2,A,2610,John Underhill,10.0,10.0,1.0,5.0,1.0,0.0,5.0,2.0,10.0,13.0,3,4,0,0,1,0,25,0,2.03,3.1,3.25,2.0,2.9,3.0,1.8,3.25,3.75,2.0,3.2,3.2,2.1,3.2,3.0
SC0,05/11/00,Dundee,Hibernian,1,2,A,1,1,D,6604,Douglas McDonald,13.0,15.0,7.0,8.0,0.0,0.0,6.0,8.0,13.0,21.0,2,10,3,0,0,0,30,0,,,,3.2,2.9,1.9,3.4,3.25,1.9,3.4,3.25,1.95,3.25,3.4,1.9
SC0,02/01/01,Dunfermline,St Johnstone,0,0,D,0,0,D,6408,Willie Young,13.0,13.0,5.0,4.0,0.0,2.0,4.0,1.0,9.0,10.0,4,1,2,1,0,0,20,10,1.95,3.0,3.35,2.2,2.9,2.7,2.1,3.4,2.87,1.95,3.4,3.25,1.9,3.4,3.25
SC0,20/09/00,Hearts,St Mirren,2,0,H,0,0,D,10524,John Underhill,13.0,11.0,7.0,3.0,0.0,0.0,8.0,2.0,14.0,11.0,2,0,1,0,0,0,10,0,1.5,3.6,5.5,1.45,3.5,5.0,1.55,3.5,5.0,1.53,3.5,5.5,1.53,3.4,5.5
SC0,16/08/00,Motherwell,Dunfermline,0,1,A,0,0,D,5257,Douglas McDonald,19.0,12.0,7.0,4.0,1.0,0.0,9.0,3.0,14.0,10.0,0,3,2,1,0,0,20,10,1.8,3.3,3.5,1.8,3.0,3.5,1.65,3.25,4.5,1.7,3.4,4.33,1.66,3.4,4.33
SC0,05/05/01,Dundee,Kilmarnock,2,1,H,1,0,H,6261,Alan Freeland,11.0,7.0,5.0,1.0,0.0,0.0,8.0,0.0,7.0,11.0,4,7,1,3,0,0,10,30,2.45,3.1,2.55,2.4,2.9,2.4,2.4,3.25,2.5,2.5,3.25,2.4,2.4,3.25,2.5
SC0,26/12/00,Dunfermline,Aberdeen,3,2,H,1,2,A,7194,Gary Mitchell,9.0,8.0,5.0,5.0,0.0,0.0,6.0,9.0,12.0,7.0,1,2,0,0,0,0,0,0,1.95,3.1,3.4,2.1,2.9,2.9,,,,1.91,3.4,3.4,1.9,3.4,3.25
SC0,19/08/00,St Mirren,Dundee,2,1,H,0,0,D,5165,Hugh Dallas,11.0,9.0,8.0,2.0,0.0,0.0,11.0,6.0,5.0,11.0,3,0,1,3,0,0,10,30,3.0,3.25,2.05,2.4,2.9,2.4,2.75,3.25,2.2,2.75,3.25,2.25,2.62,3.25,2.3
SC0,28/11/00,Dundee United,Kilmarnock,0,1,A,0,0,D,5497,Kevin Toner,7.0,5.0,2.0,2.0,1.0,1.0,4.0,6.0,13.0,14.0,1,1,1,3,0,0,10,30,3.6,3.3,1.85,3.8,3.1,1.7,3.4,3.5,1.83,3.4,3.4,1.91,3.2,3.4,1.9
SC0,17/10/00,St Johnstone,Celtic,0,2,A,0,1,A,8946,John Rowbotham,3.0,12.0,2.0,4.0,0.0,0.0,1.0,5.0,18.0,12.0,2,3,6,2,1,0,85,20,8.0,3.9,1.35,5.0,3.5,1.45,,,,7.5,4.0,1.36,8.0,3.75,1.36
SC0,22/04/01,Celtic,Hearts,1,0,H,0,0,D,59298,Michael McCurry,22.0,6.0,9.0,3.0,1.0,0.0,12.0,1.0,6.0,11.0,4,1,0,1,0,0,0,10,1.3,4.3,8.0,1.3,4.0,7.0,1.2,5.0,11.0,1.25,4.75,9.0,1.3,4.5,7.5
SC0,31/01/01,Dundee,Dundee United,2,3,A,1,1,D,11724,Willie Young,3.0,13.0,3.0,7.0,0.0,0.0,6.0,4.0,7.0,13.0,4,9,1,1,0,0,10,10,1.85,3.2,3.6,1.75,3.1,3.6,1.91,3.25,3.4,1.85,3.3,3.5,1.83,3.2,3.75
SC0,13/08/00,Aberdeen,Hearts,1,1,D,1,1,D,11798,Hugh Dallas,11.0,6.0,5.0,3.0,1.0,0.0,6.0,7.0,14.0,16.0,4,6,1,3,0,0,10,30,2.25,3.2,2.45,2.4,2.9,2.4,2.5,3.25,2.4,2.63,3.25,2.38,2.62,3.25,2.3
SC0,05/08/00,Aberdeen,St Mirren,2,1,H,1,1,D,12000,Douglas McDonald,17.0,10.0,5.0,5.0,0.0,2.0,5.0,4.0,19.0,11.0,2,1,1,1,0,0,10,10,1.7,3.3,4.2,1.8,3.0,3.5,,,,1.67,3.4,4.5,1.66,3.4,4.33
SC0,16/12/00,Celtic,Aberdeen,6,0,H,2,0,H,60013,Douglas McDonald,18.0,5.0,8.0,3.0,0.0,0.0,6.0,1.0,11.0,11.0,2,3,0,0,0,0,0,0,1.17,6.0,10.0,1.15,5.5,11.0,1.17,5.5,12.0,1.17,5.6,12.0,1.16,5.5,12.0
SC0,12/05/01,St Mirren,Aberdeen,2,1,H,2,1,H,5780,Kenny Clark,16.0,5.0,11.0,1.0,0.0,0.0,3.0,2.0,10.0,14.0,5,2,0,0,0,1,0,25,1.92,3.4,3.2,1.9,3.0,3.1,2.1,3.5,2.75,1.91,3.5,3.2,1.9,3.6,3.1
SC0,12/05/01,Rangers,Kilmarnock,5,1,H,1,0,H,46577,Michael McCurry,16.0,7.0,11.0,4.0,0.0,0.0,5.0,6.0,5.0,5.0,5,1,0,1,0,0,0,10,1.35,4.3,6.75,1.3,4.0,7.0,1.4,4.33,5.5,1.36,4.0,7.0,1.33,4.0,8.0
