Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
E2,23/10/01,Peterboro,QPR,4,1,H,2,1,H,7427.0,G. Salisbury,16,12,9,5,0,0,9,6,10,10.0,1,3,2,1,0,1,20,35,2.15,3.3,2.9,2.0,3.0,2.9,2.0,3.25,3.25,2.05,3.25,3.1,2.1,3.4,2.88,,,
E2,23/02/02,Peterboro,Oldham,2,2,D,1,2,A,4308.0,"Warren, M. R.",16,10,7,4,1,0,10,4,13,13.0,3,7,2,2,0,0,20,20,2.48,3.2,2.5,2.3,3.0,2.4,2.37,3.2,2.62,2.5,3.2,2.5,2.375,3.2,2.6,2.4,3.2,2.6
E2,22/12/01,Wycombe,Cambridge,2,0,H,2,0,H,6560.0,"Curson, B.",8,19,4,4,0,0,4,7,14,10.0,2,2,0,0,0,0,0,0,1.4,3.8,7.2,1.4,3.6,5.5,1.4,3.75,7.5,1.4,3.75,7.5,1.44,3.75,6.5,1.4,3.75,7.5
E2,02/04/02,Cambridge,Chesterfield,4,1,H,3,0,H,2669.0,"Walton, P.",15,5,8,3,1,0,6,5,9,18.0,1,1,3,4,0,1,30,65,2.7,3.3,2.25,2.5,2.9,2.3,2.5,3.2,2.5,2.7,3.2,2.3,2.75,3.4,2.2,2.8,3.25,2.2
E2,21/12/01,Brentford,Northampton,3,0,H,0,0,D,5142.0,"Hill, K. D.",21,4,7,3,1,0,11,2,11,16.0,4,4,1,2,0,0,10,20,1.4,3.8,7.2,1.4,3.6,5.5,1.44,4.0,6.0,1.4,3.75,7.5,1.4,3.75,7.5,1.4,3.75,7.5
E2,09/02/02,Cardiff,Swindon,3,0,H,1,0,H,12045.0,"Dowd, P.",9,7,5,2,0,0,5,1,14,12.0,1,4,1,1,0,0,10,10,1.7,3.35,4.35,1.65,3.1,4.0,1.67,3.4,4.5,1.615,3.4,5.0,1.571,3.6,5.0,1.61,3.4,5.0
E2,27/10/01,Reading,Brentford,1,2,A,0,0,D,14680.0,M. Fletcher,4,15,2,7,0,0,4,6,10,13.0,1,10,3,4,0,0,30,40,2.25,3.2,2.8,2.2,3.0,2.6,2.2,3.25,2.87,2.25,3.25,2.75,2.1,3.4,2.88,2.2,3.25,2.8
E2,12/01/02,Cambridge,Notts County,0,2,A,0,0,D,3747.0,"Hall, A. R.",9,15,3,5,0,1,7,4,16,17.0,3,3,3,1,0,0,30,10,2.2,3.15,2.9,2.1,2.9,2.9,2.2,3.25,2.87,2.2,3.25,2.8,2.2,3.2,2.88,2.1,3.25,3.0
E2,26/12/01,Cambridge,Brentford,2,1,H,0,1,A,3989.0,"Penton, C.",15,7,10,3,0,0,9,3,16,18.0,3,2,1,2,0,0,10,20,3.45,3.35,1.9,3.3,3.0,1.85,3.4,3.4,1.91,3.4,3.4,1.91,3.4,3.4,1.91,3.5,3.4,1.83
E2,26/02/02,Bournemouth,Brighton,1,1,D,1,1,D,6337.0,"Hill, K. D.",7,7,3,1,2,1,7,7,10,9.0,5,4,3,2,0,0,30,20,2.75,3.2,2.28,2.6,3.0,2.2,3.0,3.25,2.1,2.8,3.2,2.25,3.0,3.25,2.1,2.7,3.2,2.3
E2,19/01/02,Bury,Tranmere,0,1,A,0,1,A,4245.0,"Richards, P. R.",5,13,1,6,0,0,6,3,14,17.0,4,1,0,2,1,0,25,20,2.6,3.25,2.35,2.4,3.0,2.3,2.75,3.25,2.25,2.62,3.2,2.38,2.75,3.25,2.25,2.62,3.2,2.37
E2,26/12/01,Northampton,Colchester,2,3,A,1,1,D,4740.0,"Bates, A.",13,13,8,7,0,0,5,5,10,10.0,2,4,0,0,0,0,0,0,2.52,3.2,2.45,2.35,3.0,2.35,2.37,3.4,2.5,2.6,3.2,2.4,2.6,3.2,2.38,2.5,3.2,2.5
E2,27/08/01,Bury,Swindon,0,3,A,0,0,D,3202.0,M. Clattenburg,11,10,2,5,0,0,7,10,17,11.0,4,2,1,0,1,0,35,0,,,,2.0,3.0,2.9,2.1,3.25,3.0,,,,1.91,3.5,3.25,2.0,3.3,3.2
E2,08/09/01,Oldham,Blackpool,2,1,H,1,0,H,6650.0,M. Ryan,9,9,5,5,0,0,6,6,9,17.0,5,2,5,3,0,1,50,55,,,,1.8,3.1,3.4,1.8,3.25,4.0,1.8,3.25,4.0,1.8,3.4,3.75,1.8,3.4,3.75
E2,20/04/02,Brentford,Reading,1,1,D,0,0,D,11303.0,"Stretton, F. G.",12,9,4,3,0,0,1,6,11,12.0,5,7,3,1,0,0,30,10,2.1,3.2,3.05,,,,1.91,3.25,3.5,2.1,3.25,3.0,2.1,3.2,3.1,2.1,3.0,3.25
E2,19/01/02,Oldham,Wrexham,3,1,H,1,1,D,5451.0,"Cowburn, M. G.",14,14,6,7,0,1,4,2,13,11.0,7,1,0,2,0,1,0,45,1.5,3.55,5.95,1.5,3.4,4.7,1.53,3.6,5.5,1.53,3.5,5.5,1.53,3.5,5.5,1.53,3.4,6.0
E2,10/11/01,Brighton,Port Vale,1,0,H,0,0,D,6648.0,J. J. Ross,10,10,5,3,1,0,5,2,23,23.0,2,4,0,3,0,0,0,30,1.52,3.6,5.55,1.5,3.5,4.5,1.53,3.6,5.5,1.44,3.75,6.5,1.5,3.5,6.0,1.44,3.75,6.5
E2,02/02/02,Notts County,Oldham,0,2,A,0,0,D,4555.0,"Parkes, T. A.",12,9,4,3,0,0,4,3,22,13.0,3,4,1,1,0,0,10,10,2.58,3.2,2.4,2.35,3.0,2.35,2.62,3.2,2.37,2.7,3.25,2.3,2.625,3.4,2.25,2.75,3.25,2.25
E2,23/03/02,Stoke,Chesterfield,1,0,H,1,0,H,14841.0,"Pike, M. S.",10,11,6,4,1,0,6,7,8,12.0,2,2,0,0,0,0,0,0,1.44,3.65,6.8,1.5,3.5,4.5,1.5,3.6,6.0,1.444,3.75,6.5,1.4,4.0,6.5,1.5,3.5,6.0
E2,13/04/02,Reading,Peterboro,2,2,D,0,1,A,22151.0,"Crick, D. R.",19,8,13,4,0,1,9,4,8,19.0,6,6,1,2,0,0,10,20,1.35,4.2,7.3,1.25,4.3,8.0,1.28,4.5,9.0,1.25,4.6,9.5,1.286,4.5,8.5,1.28,4.5,8.5
E2,10/11/01,Cambridge,Oldham,1,1,D,0,1,A,3378.0,P. Taylor,11,10,6,5,0,0,3,6,16,15.0,3,0,4,1,0,0,40,10,2.35,3.15,2.7,2.3,3.0,2.4,2.5,3.2,2.5,2.4,3.2,2.6,2.38,3.2,2.6,2.25,3.25,2.75
E2,18/09/01,Reading,Cambridge,1,0,H,0,0,D,8348.0,L. E. Cable,18,3,8,1,0,0,8,7,10,15.0,2,2,1,3,0,0,10,30,,,,1.45,3.5,5.0,1.44,3.75,6.5,1.44,3.75,6.5,1.5,3.5,6.0,1.44,3.6,7.0
E2,24/11/01,Notts County,Cardiff,0,0,D,0,0,D,6313.0,H. M. Webb,11,10,3,4,0,0,4,6,11,18.0,2,2,1,1,0,0,10,10,2.6,3.1,2.45,2.5,2.9,2.3,2.75,3.4,2.2,2.62,3.2,2.38,2.6,3.2,2.38,2.62,3.2,2.37
E2,27/08/01,Brighton,Blackpool,4,0,H,1,0,H,6696.0,R. J. Olivier,14,4,9,2,1,0,6,6,9,10.0,3,2,1,2,0,1,10,45,,,,1.7,3.1,3.8,1.73,3.25,4.33,,,,1.62,3.6,4.5,1.66,3.4,4.5
